id,county,state,estimate_households_total,estimate_households_total_less_than_10_000,estimate_households_total_10_000_to_14_999,estimate_households_total_15_000_to_24_999,estimate_households_total_25_000_to_34_999,estimate_households_total_35_000_to_49_999,estimate_households_total_50_000_to_74_999,estimate_households_total_75_000_to_99_999,estimate_households_total_100_000_to_149_999,estimate_households_total_150_000_to_199_999,estimate_households_total_200_000_or_more,estimate_households_median_income_dollars,estimate_households_mean_income_dollars,disparity_value,income_class
0500000US53025,Grant,Washington,30866,3.8,3.6,8.7,13.1,14.7,20.5,15.4,12.1,3.5,4.6,56997,72406,15409,Low
0500000US53027,Grays Harbor,Washington,29920,5.6,4,9,9,13.1,20.9,15.5,14.1,5.3,3.8,61026,77948,16922,Middle
0500000US53029,Island,Washington,35586,5.3,1.1,4.5,6.2,14.8,20.2,16.5,18.1,7.3,6,72066,90484,18418,High
0500000US53033,King,Washington,907761,4.1,2.3,4.6,4.9,7.9,13.4,11,19.3,11.6,21,102594,139525,36931,Very High
0500000US53035,Kitsap,Washington,107525,3.7,2.3,5.6,4.7,10.3,20.6,15.4,20.6,8.2,8.5,79624,97436,17812,Very High
0500000US53041,Lewis,Washington,31879,5.3,4,12,7.8,12.7,20.4,14.2,15,6.5,2.1,58911,72799,13888,Low
0500000US53045,Mason,Washington,24820,5.2,1.5,6.7,9.1,13.2,22,9.1,21,8,4.2,63983,84850,20867,Middle
0500000US53053,Pierce,Washington,333657,3.5,3,5.4,5.8,11.4,17.9,15,21.3,8.9,7.7,79243,97051,17808,Very High
0500000US53057,Skagit,Washington,49043,2.9,4.5,7.5,7.2,13.9,19.4,14.9,17.7,6.8,5.1,67175,85948,18773,High
0500000US53061,Snohomish,Washington,299827,3.1,2.8,5.1,5.4,8.3,16.5,14.9,20.2,12,11.7,89260,109561,20301,Very High
0500000US53063,Spokane,Washington,211723,5.8,4.3,8.3,8.9,14.1,20,12.7,13.5,7.3,5.1,59974,80940,20966,Low
0500000US53067,Thurston,Washington,112909,4.5,3.1,7.1,6.2,10.3,16.8,16.5,20,7.9,7.5,78512,93918,15406,Very High
0500000US53073,Whatcom,Washington,88794,4.7,3.4,8.2,8.6,9.3,20,15.9,17.2,6.9,5.9,69372,84870,15498,High
0500000US53077,Yakima,Washington,83992,5.5,3.1,11.2,10.9,14.4,18.9,15.4,12.8,4.3,3.7,56233,72179,15946,Low
0500000US54003,Berkeley,West Virginia,46395,5.6,2.6,5.9,11.2,12.4,22.7,13.4,17.2,4.9,4,62370,77564,15194,Middle
0500000US54011,Cabell,West Virginia,38040,12.4,5.8,12.3,13.2,14.8,15.5,9.6,9.4,3.9,3.1,40788,59375,18587,Very Low
0500000US54033,Harrison,West Virginia,25905,3.8,5.3,11.2,11,13.7,14.1,11.6,19.9,6.3,3.1,54314,73744,19430,Very Low
0500000US54039,Kanawha,West Virginia,78384,11.4,5,10.5,9.6,15.5,17.6,10.9,11.7,4,3.9,47759,66290,18531,Very Low
